fraccion,industria,aviso_automatico
5001.00.01,Textil y Confeccion,True
5002.00.01,Textil y Confeccion,True
5003.00.01,Textil y Confeccion,True
5003.00.99,Textil y Confeccion,True
5004.00.01,Textil y Confeccion,True
5005.00.01,Textil y Confeccion,True
5006.00.01,Textil y Confeccion,True
5007.10.01,Textil y Confeccion,True
5007.20.01,Textil y Confeccion,True
5007.90.01,Textil y Confeccion,True
5101.11.01,Textil y Confeccion,True
5101.11.99,Textil y Confeccion,True
5101.19.01,Textil y Confeccion,True
5101.19.99,Textil y Confeccion,True
5101.21.01,Textil y Confeccion,True
5101.21.99,Textil y Confeccion,True
5101.29.01,Textil y Confeccion,True
5101.29.99,Textil y Confeccion,True
5101.30.01,Textil y Confeccion,True
5101.30.99,Textil y Confeccion,True
5102.11.01,Textil y Confeccion,True
5102.19.01,Textil y Confeccion,True
5102.19.02,Textil y Confeccion,True
5102.19.99,Textil y Confeccion,True
5102.20.01,Textil y Confeccion,True
5102.20.99,Textil y Confeccion,True
5103.10.01,Textil y Confeccion,True
5103.10.02,Textil y Confeccion,True
5103.10.99,Textil y Confeccion,True
5103.20.01,Textil y Confeccion,True
5103.20.02,Textil y Confeccion,True
5103.20.99,Textil y Confeccion,True
5103.30.01,Textil y Confeccion,True
5104.00.01,Textil y Confeccion,True
5105.10.01,Textil y Confeccion,True
5105.21.01,Textil y Confeccion,True
5105.29.01,Textil y Confeccion,True
5105.29.99,Textil y Confeccion,True
5105.31.01,Textil y Confeccion,True
5105.39.01,Textil y Confeccion,True
5105.39.02,Textil y Confeccion,True
5105.39.99,Textil y Confeccion,True
5105.40.01,Textil y Confeccion,True
5106.10.01,Textil y Confeccion,True
5106.20.01,Textil y Confeccion,True
5107.10.01,Textil y Confeccion,True
5107.20.01,Textil y Confeccion,True
5108.10.01,Textil y Confeccion,True
5108.20.01,Textil y Confeccion,True
5109.10.01,Textil y Confeccion,True
5109.90.99,Textil y Confeccion,True
5110.00.01,Textil y Confeccion,True
5111.11.01,Textil y Confeccion,True
5111.11.99,Textil y Confeccion,True
5111.19.01,Textil y Confeccion,True
5111.19.99,Textil y Confeccion,True
5111.20.01,Textil y Confeccion,True
5111.20.99,Textil y Confeccion,True
5111.30.01,Textil y Confeccion,True
5111.30.99,Textil y Confeccion,True
5111.90.99,Textil y Confeccion,True
5112.11.01,Textil y Confeccion,True
5112.11.99,Textil y Confeccion,True
5112.19.01,Textil y Confeccion,True
5112.19.02,Textil y Confeccion,True
5112.19.99,Textil y Confeccion,True
5112.20.01,Textil y Confeccion,True
5112.20.99,Textil y Confeccion,True
5112.30.01,Textil y Confeccion,True
5112.30.02,Textil y Confeccion,True
5112.30.99,Textil y Confeccion,True
5112.90.99,Textil y Confeccion,True
5113.00.01,Textil y Confeccion,True
5113.00.99,Textil y Confeccion,True
5201.00.01,Textil y Confeccion,True
5201.00.02,Textil y Confeccion,True
5201.00.99,Textil y Confeccion,True
5202.10.01,Textil y Confeccion,True
5202.91.01,Textil y Confeccion,True
5202.99.01,Textil y Confeccion,True
5202.99.99,Textil y Confeccion,True
5203.00.01,Textil y Confeccion,True
5204.11.01,Textil y Confeccion,True
5204.19.99,Textil y Confeccion,True
5204.20.01,Textil y Confeccion,True
5205.11.01,Textil y Confeccion,True
5205.12.01,Textil y Confeccion,True
5205.13.01,Textil y Confeccion,True
5205.14.01,Textil y Confeccion,True
5205.15.01,Textil y Confeccion,True
5205.21.01,Textil y Confeccion,True
5205.22.01,Textil y Confeccion,True
5205.23.01,Textil y Confeccion,True
5205.24.01,Textil y Confeccion,True
5205.26.01,Textil y Confeccion,True
5205.27.01,Textil y Confeccion,True
5205.28.01,Textil y Confeccion,True
5205.31.01,Textil y Confeccion,True
5205.32.01,Textil y Confeccion,True
5205.33.01,Textil y Confeccion,True
5205.34.01,Textil y Confeccion,True
5205.35.01,Textil y Confeccion,True
5205.41.01,Textil y Confeccion,True
5205.42.01,Textil y Confeccion,True
5205.43.01,Textil y Confeccion,True
5205.44.01,Textil y Confeccion,True
5205.46.01,Textil y Confeccion,True
5205.47.01,Textil y Confeccion,True
5205.48.01,Textil y Confeccion,True
5206.11.01,Textil y Confeccion,True
5206.12.01,Textil y Confeccion,True
5206.13.01,Textil y Confeccion,True
5206.14.01,Textil y Confeccion,True
5206.15.01,Textil y Confeccion,True
5206.21.01,Textil y Confeccion,True
5206.22.01,Textil y Confeccion,True
5206.23.01,Textil y Confeccion,True
5206.24.01,Textil y Confeccion,True
5206.25.01,Textil y Confeccion,True
5206.31.01,Textil y Confeccion,True
5206.32.01,Textil y Confeccion,True
5206.33.01,Textil y Confeccion,True
5206.34.01,Textil y Confeccion,True
5206.35.01,Textil y Confeccion,True
5206.41.01,Textil y Confeccion,True
5206.42.01,Textil y Confeccion,True
5206.43.01,Textil y Confeccion,True
5206.44.01,Textil y Confeccion,True
5206.45.01,Textil y Confeccion,True
5207.10.01,Textil y Confeccion,True
5207.90.99,Textil y Confeccion,True
5208.11.01,Textil y Confeccion,True
5208.12.01,Textil y Confeccion,True
5208.13.01,Textil y Confeccion,True
5208.19.01,Textil y Confeccion,True
5208.19.02,Textil y Confeccion,True
5208.19.99,Textil y Confeccion,True
5208.21.01,Textil y Confeccion,True
5208.22.01,Textil y Confeccion,True
5208.23.01,Textil y Confeccion,True
5208.29.01,Textil y Confeccion,True
5208.29.99,Textil y Confeccion,True
5208.31.01,Textil y Confeccion,True
5208.32.01,Textil y Confeccion,True
5208.33.01,Textil y Confeccion,True
5208.39.01,Textil y Confeccion,True
5208.39.99,Textil y Confeccion,True
5208.41.01,Textil y Confeccion,True
5208.42.01,Textil y Confeccion,True
5208.43.01,Textil y Confeccion,True
5208.49.01,Textil y Confeccion,True
5208.51.01,Textil y Confeccion,True
5208.52.01,Textil y Confeccion,True
5208.59.01,Textil y Confeccion,True
5208.59.02,Textil y Confeccion,True
5208.59.99,Textil y Confeccion,True
5209.11.01,Textil y Confeccion,True
5209.12.01,Textil y Confeccion,True
5209.19.01,Textil y Confeccion,True
5209.19.99,Textil y Confeccion,True
5209.21.01,Textil y Confeccion,True
5209.22.01,Textil y Confeccion,True
5209.29.01,Textil y Confeccion,True
